Country,Initials,Host,Year,Attendance,Result,Last opponent,Remarks,Goals_scored,Goals_conceded,Matches,Wins,Draws,Losses,Win percentage,Coach,Comebacks,Bottled,Draw,HT victory,2nd HF win,NT win,NT loss,NT draw,ET win,ET loss,GG win,GG loss,PEN win,PEN loss
Bosnia and Herzegovina,BIH,Germany,1974,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Argentina,1978,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Spain,1982,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Mexico,1986,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Italy,1990,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,USA,1994,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,France,1998,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Korea/Japan,2002,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Germany,2006,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,South Africa,2010,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Brazil,2014,163248,Group stage,Iran,Eliminated in the group stages,4,4,3,1,0,2,33.33,SUSIC Safet (BIH),0,0,0,1,0,1,2,0,0,0,0,0,0,0
Brazil,BRA,Uruguay,1930,49525,Group stage,Bolivia,Eliminated in the group stages,5,2,2,1,0,1,50.0,DE CARVALHO Pindaro (BRA),0,0,0,1,0,1,1,0,0,0,0,0,0,0
Brazil,BRA,Italy,1934,21000,Preliminary round,Spain,Eliminated by Spain,1,3,1,0,0,1,0.0,LUIZ VINHAES (BRA),0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brazil,BRA,France,1938,98614,Third place,Sweden,Beaten Sweden to finish 3rd,14,11,5,3,1,1,60.0,PIMENTA Ademar (BRA),2,0,1,0,1,2,1,1,1,0,0,0,0,0
Brazil,BRA,Brazil,1950,731618,Group stage,Uruguay,Eliminated in the group stages,22,6,6,4,1,1,66.67,COSTA Flavio (BRA),0,1,0,4,0,4,1,1,0,0,0,0,0,0
Brazil,BRA,Switzerland,1954,78107,Quarter-finals,Hungary,Eliminated by Hungary,8,5,3,1,1,1,33.33,MOREIRA Zeze (BRA),0,0,1,1,0,1,1,1,0,0,0,0,0,0
Brazil,BRA,Sweden,1958,212371,Champions,Sweden,Champions by beating Sweden in the final,16,4,6,5,1,0,83.33,FEOLA Vicente (BRA),0,0,1,4,1,5,0,1,0,0,0,0,0,0
Brazil,BRA,Chile,1962,207111,Champions,Czechoslovakia,Champions by beating Czechoslovakia in the final,14,5,6,5,1,0,83.33,MOREIRA Aymore (BRA),1,0,1,1,3,5,0,1,0,0,0,0,0,0
Brazil,BRA,England,1966,157174,Group stage,Portugal,Eliminated in the group stages,4,6,3,1,0,2,33.33,FEOLA Vicente (BRA),0,0,0,1,0,1,2,0,0,0,0,0,0,0
Brazil,BRA,Mexico,1970,383450,Champions,Italy,Champions by beating Italy in the final,19,7,6,6,0,0,100.0,ZAGALLO Mario (BRA),0,0,0,2,4,6,0,0,0,0,0,0,0,0
Brazil,BRA,Germany,1974,390263,Fourth place,Poland,Finished 4th behind Poland,6,4,7,3,2,2,42.86,ZAGALLO Mario (BRA),0,0,2,1,2,3,2,2,0,0,0,0,0,0
Brazil,BRA,Argentina,1978,280410,Third place,Italy,Beaten Italy to finish 3rd,10,3,7,4,3,0,57.14,COUTINHO Claudio (BRA),1,0,3,2,1,4,0,3,0,0,0,0,0,0
Brazil,BRA,Spain,1982,246379,Group stage,Italy,Eliminated in the group stages,15,6,5,4,0,1,80.0,SANTANA Tele (BRA),1,0,0,2,1,4,1,0,0,0,0,0,0,0
Brazil,BRA,Mexico,1986,244748,Quarter-finals,France,Eliminated by France,10,1,5,4,0,1,80.0,SANTANA Tele (BRA),0,0,0,2,2,4,0,0,0,0,0,0,0,1
Brazil,BRA,Italy,1990,244518,Round of 16,Argentina,Eliminated by Argentina,4,2,4,3,0,1,75.0,LAZARONI Sebastiao (BRA),0,0,0,2,1,3,1,0,0,0,0,0,0,0
Brazil,BRA,USA,1994,575376,Champions,Italy,Champions by beating Italy in the final,11,3,7,6,1,0,85.71,PARREIRA Carlos Alberto (BRA),0,0,0,2,4,5,0,1,0,0,0,0,1,0
Brazil,BRA,France,1998,385500,Runners-up,France,Lost the final to France,14,10,7,5,0,2,71.43,ZAGALLO Mario (BRA),0,0,0,3,2,4,2,0,0,0,0,0,1,0
Brazil,BRA,Korea/Japan,2002,327079,Champions,Germany,Champions by beating Germany in the final,18,4,7,7,0,0,100.0,SCOLARI Luiz Felipe (BRA),1,0,0,2,4,7,0,0,0,0,0,0,0,0
Brazil,BRA,Germany,2006,316000,Quarter-finals,France,Eliminated by France,10,2,5,4,0,1,80.0,PARREIRA Carlos Alberto (BRA),0,0,0,2,2,4,1,0,0,0,0,0,0,0
Brazil,BRA,South Africa,2010,295780,Quarter-finals,Netherlands,Eliminated by Netherlands,9,4,5,3,1,1,60.0,DUNGA (BRA),0,1,1,2,1,3,1,1,0,0,0,0,0,0
Brazil,BRA,Brazil,2014,435788,Fourth place,Netherlands,Finished 4th behind Netherlands,11,14,7,4,1,2,57.14,SCOLARI Luiz Felipe (BRA),0,0,1,2,2,3,2,1,0,0,0,0,1,0
Bulgaria,BUL,Uruguay,1930,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,Italy,1934,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,France,1938,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,Brazil,1950,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,Switzerland,1954,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,Sweden,1958,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,Chile,1962,20276,Group stage,England,Eliminated in the group stages,1,7,3,0,1,2,0.0,PACHEDZHIEV Georgi (BUL),0,0,1,0,0,0,2,1,0,0,0,0,0,0
Bulgaria,BUL,England,1966,96875,Group stage,Hungary,Eliminated in the group stages,1,8,3,0,0,3,0.0,VYTLACIL Rudolf (TCH),0,0,0,0,0,0,3,0,0,0,0,0,0,0
Bulgaria,BUL,Mexico,1970,38774,Group stage,Morocco,Eliminated in the group stages,5,9,3,0,1,2,0.0,BOZHKOV Stefan (BUL),0,2,0,0,0,0,2,1,0,0,0,0,0,0
Bulgaria,BUL,Germany,1974,90500,Group stage,Netherlands,Eliminated in the group stages,2,5,3,0,2,1,0.0,MLADENOV Hristo (BUL),0,0,2,0,0,0,1,2,0,0,0,0,0,0
Bulgaria,BUL,Argentina,1978,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,Spain,1982,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,Mexico,1986,320580,Round of 16,Mexico,Eliminated by Mexico,2,6,4,0,2,2,0.0,VUTSOV Ivan (BUL),0,1,0,0,0,0,2,2,0,0,0,0,0,0
Bulgaria,BUL,Italy,1990,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,USA,1994,479930,Fourth place,Sweden,Finished 4th behind Sweden,10,11,7,4,0,3,57.14,PENEV Dimitar (BUL),0,0,0,1,3,3,3,0,0,0,0,0,1,0
Bulgaria,BUL,France,1998,113400,Group stage,Spain,Eliminated in the group stages,1,7,3,0,1,2,0.0,BONEV Hristo (BUL),0,0,1,0,0,0,2,1,0,0,0,0,0,0
Bulgaria,BUL,Korea/Japan,2002,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,Germany,2006,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,South Africa,2010,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BUL,Brazil,2014,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Uruguay,1930,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Italy,1934,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
