Country,Initials,Host,Year,Result,Last opponent,Remarks,Goals_scored,Goals_conceded,Matches,Wins,Draws,Losses,Win percentage,Coach
Scotland,SCO,France,1998,Group stage,Morocco,Eliminated in the group stages,2,6,3,0,1,2,0.0,BROWN Craig (SCO)
Scotland,SCO,Korea/Japan,2002,Not qualified,,Did not qualify for the tournament,,,,,,,,
Scotland,SCO,Germany,2006,Not qualified,,Did not qualify for the tournament,,,,,,,,
Scotland,SCO,South Africa,2010,Not qualified,,Did not qualify for the tournament,,,,,,,,
Scotland,SCO,Brazil,2014,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Italy,1934,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Sweden,1958,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Chile,1962,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,England,1966,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Argentina,1978,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Spain,1982,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Mexico,1986,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Italy,1990,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,USA,1994,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,France,1998,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Korea/Japan,2002,Quarter-finals,Turkey,Eliminated by Turkey,7,6,5,2,2,1,40.0,METSU Bruno (FRA)
Senegal,SEN,Germany,2006,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,South Africa,2010,Not qualified,,Did not qualify for the tournament,,,,,,,,
Senegal,SEN,Brazil,2014,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Italy,1934,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Sweden,1958,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Chile,1962,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,England,1966,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Argentina,1978,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Spain,1982,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Mexico,1986,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Italy,1990,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,USA,1994,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,France,1998,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Korea/Japan,2002,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,Germany,2006,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia,SRB,South Africa,2010,Group stage,Australia,Eliminated in the group stages,2,3,3,1,0,2,33.33,ANTIC Radomir (SRB)
Serbia,SRB,Brazil,2014,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Italy,1934,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Sweden,1958,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Chile,1962,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,England,1966,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Argentina,1978,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Spain,1982,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Mexico,1986,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Italy,1990,Not qualified,,Did not qualify for the tournament,,,,,,,,
